utterance,persona_sentence,label
hey ! ! so i have a house warming party for my new apartment with my buddy tomorrow !,i recently got an apartment with my best friend .,positive
i like to go to the gym .,i love going to the gym .,positive
"wonderful ! yeah , however , my family does not support my choice of career .",my family does not support my career choices .,positive
hey there ! i just got back from one of my dog agility classes .,i go do competitions with my husky .,positive
"hey , i was freaking poor growing up ! but my favorite food was cheeseburgers !",i do not know what it is like to have money .,positive
that is funny ! i take dance lessons so i can dance just like them .,i take dance lessons once a week .,positive
"yeah , i became vegan when i got locked up .",i am a vegan .,positive
my goal is to run a k !,my current goal is to run a k .,positive
wow . my boyfriend would go crazy . we just moved into a house .,i live in a house .,positive
"hello dirty red , i am a high school student . i just won homecoming queen !",i won homecoming queen this year .,positive
"oh i was too . in chinese , guitar , and violin . ping pong too .",i play ping pong .,positive
not really into coffee . i love cooking but also enjoy fishing . do you like fishing ?,i love cooking but i also enjoy fishing .,positive
"i practice buddhism , so i do that a lot .",i am a buddhist .,positive
sounds fun ! i just turned 24 .,i am 24 years old .,positive
just grab a refreshment somewhere . coffee is my favorite beverage .,coffee is my preferred beverage .,positive
born and raised on a horse farm . spent my entire life with horses .,my family has raised horses for a generations .,positive
one dog sugar . i named her after my famous sugar cookies !,i have a dogs .,positive
i am saddened because my career choices are not supported by my family .,my family does not support my career choices .,positive
"hello , i like wine and coffee .",coffee is my preferred beverage .,positive
"i demand a lot , high maintenance , so you do not want to date me !",i am high maintenance .,positive
family is important . i learned everything i know from my father .,my dad taught me everything i know .,positive
i take dance lessons . what are you going to school for ?,i take dance lessons once a week .,positive
doing great ! just looking into business school for next year . how are you ?,i plan to go to business school next year .,positive
i used to be a gym teacher so i used to be quite fit !,i am a retired gym teacher .,positive
really that is sad . i work as an elementary teacher .,i teach little children .,positive
"so you know , i stay away from male clubs . i just watch american sports .",i am a man .,positive
i like cooking shows . i should probably take some classes to improve .,i also like to cook but i am not very good at it .,positive
"i study language and music , can you speak french ?",my next language to study is french .,positive
what does your dog do ? i like to play with blocks and sing the alphabet .,i like to look at blocks and sing about letters .,positive
when i retire in few years i will travel all over the country to nascar races .,i really like to travel .,positive
absolutely . i can either be found cooking or fishing .,if i am not cooking in the kitchen then i am definitely on the water .,positive
"no , unless you count using my superpowers .",i have superpowers .,positive
they do not serve that at the homeless shelter where i volunteer .,i volunteer at the homeless shelter .,positive
92 years . my mom passed away while i was young though .,my mom passed away when i was young .,positive
unfortunately i travel all the time . it can be tough on my family .,i am an animal lover .,positive
oh young people . the holidays are coming . that makes me sad .,i do not enjoy christmas .,positive
no ! my favorite toy as a kid was lite brite because i was so scared !,my favorite toy as a child as my lite brite .,positive
very cool ! i loved it when my kids left .,i love my kids and their kids .,positive
i produce music for rap artists mainly .,i produce music for artists .,positive
i am going to listen to music country music i like .,i only listen to country music .,positive
"black , like my soul . i am very depressed from working at burger king .",i work took i have a part time job at burger king .,positive
hello jenny ! my name is lee and i am retired .,i have been retired for a years .,positive
"well , i seem to always be on a diet . . . even though i love food . . .",i diet a lot .,positive
"oh wow , me too . my favorite shirts are flannel ruffle sleeves and any nirvana band shirt .",my favorite shirts are band shirts and ruffle sleeves .,positive
i like to ride horses and be on a farm .,we have had thoroughbreds for ages .,positive
"i teach elementary school , and so did my parents . now you ?","like me , my mom and dad taught at bloom high school .",positive
hi ! i am thinking where to go next . i am traveling .,i have been traveling the world for a years .,positive
"my kids do not visit , so i have a lot of time on my hands , after work .",my adult kids do not come to see me .,positive
i am doing good . dreading the holidays .,the holidays make me depressed .,positive
"we are having another county bake sale , i always go . will you go ?",the county wide bake sale is where i feel most at home .,positive
when i was in nashville i bumped into taylor swift in the bathroom !,i met taylor swift .,positive
i am a farmer . what about you .,i live is a rural farming community .,positive
"i work as a librarian , but i am going to retire in the next couple of years .",i think i will retire in a few years .,positive
maybe each sister could take six dogs each and foxy go with me .,i love dogs .,positive
i thought i would always be a door to door salesperson as my father was .,my father was a door to door salesman .,positive
you should rent out my yacht when you are ready to travel .,i own a yacht and i rent it out when i am not using it .,positive
holy cow . a lot of hats ! i just have one . my construction worker hat .,i am a construction worker .,positive
i am on a school trip . brought some 4th graders . i am their teacher .,"like me , my mom and dad taught at bloom high school .",positive
problem is i do a lot of traveling like to spain .,i enjoy traveling in europe .,positive
i like cartman . my favorite thing is shopping .,i often shop for shoes and watches .,positive
i just got an apartment with my best friend .,i recently got an apartment with my best friend .,positive
i wish it was not raining out so me and my friends could go to the playground .,i play with my friends on the playground .,positive
i am 56 years old and amazing . i am female and living it up .,i am a 56 year old woman .,positive
sounds interesting ! i usually go to country music concerts on the weekends .,i like to go to country concerts on weekends .,positive
"yes , but i love traveling , before i am really too old .",i enjoy traveling in europe .,positive
"i like the outdoors also , especially exploring new places that i have not seen before .",i like seeing different places in a town .,positive
only if you love pizza as much as i do .,my favourite food is pizza .,positive
i travel in the city . my meds make me see things some times .,i now live in the city .,positive
"antidepressants and others , better than my drinking used to be .",i used to drink a lot but not anymore .,positive
how long was your walk ? everyday i walk three miles .,i walk three miles every day .,positive
mommy says to pick up toys . i do not like to . i want to play dolls !,i do not pick up my toys .,positive
nice . what do you think of someone growing up poor ?,i do not know what it is like to have money .,positive
mommy is mad . i did not pick up my toys .,i do not pick up my toys .,positive
"oh , wow . that is interesting . i have a daughter that is smart .",my daughter is a child prodigy .,positive
"hey , i am in high school and i want to be a physical therapist .",when i grow up i want to be a physical therapist .,positive
nice ! my parents are both very athletic . they encouraged me to stay fit .,my parents were both very athletic .,positive
i see . i had cancer but am in remission . no super powers though .,i had cancer but its gone now .,positive
"my mom is visiting in the morning , it is the first time i have seen her .",my mom is coming to visit me tomorrow .,positive
"hey , i am 8 and a big third grader that loves the playground .",i like to use the swings and monkey bars .,positive
oh my i just love country music ! do you ?,i love country music .,positive
"between wife , job with no money , i am thinking now of divorce .",i am planning on getting a divorce .,positive
well i work in a bookstore and i like books .,i went to school for chemistry but work in a bookstore .,positive
do you like cooking ? i always cook paella and fish and chips ! i love them !,i love to cook paella .,positive
"i have 2 adult children , i never see them though .",i have two grown children who never visit .,positive
lovely truck ! i dream of owning a rolls royce ghost one day .,my dream car is a rolls royce ghost .,positive
"blue is nice . i wear blue sweats when i run . i love running , strengthens me .",i love running and preparing for marathons .,positive
gross . i think the dirt would mess up my skinny jeans .,i am rather skinny as i like to stay in shape .,positive
gymnastics for about 4 hours a day great work out .,i really like performing handstands and back flips on the balance beam .,positive
"trust me , i used to be a game designer , i helped make starcraft .",i helped design the game starcraft .,positive
it is . i live french fries and burgers so i need to exercise !,i like to eat hamburgers and french fries .,positive
"i love farms , i am behind a desk , since i am an engineer .",i am a mechanical engineer .,positive
great just got back from the gym i go twice a day every day .,i love going to the gym .,positive
so cool i cannot have a drink with alcohol .,i do not drink alcohol .,positive
i work part time at burger king . i just like hanging with my friends .,i work took i have a part time job at burger king .,positive
"i am , but i am looking for a new job . what do you want to be ?",i am now looking for a new job .,positive
i really enjoy shopping and my dream is to one day own a rolls royce ghost .,i enjoy browsing stores .,positive
"i went to college for chemistry , but i actually work in a bookstore now .",i went to school for chemistry but work in a bookstore .,positive
i will think about it . but i have a feminist march to attend later .,i am a feminist .,positive
sounds cool ! i could be your dog walker when you are busy .,i walk dogs for a living .,positive
i want to work for a watch dealer and i like to shop for watches and shoes .,i often shop for shoes and watches .,positive
my little girl is doing child prodigy .,my little girl is a genius .,positive
"me too , and i already have the long red hair . it goes to my waist .",i have blue eyes and red hair that comes to my waist .,positive
best thing is going to see the rolling stones every year !,i see the rolling stones in concert every year .,positive
"for dog walking ? no , but my dad sold door to door .",my dad sold things for a living .,positive
i really enjoy shopping myself .,i like shopping .,positive
i try to hit the gym regularly . i like the treadmill and rowing machine .,i love going to the gym .,positive
i cannot get enough of disneyland ! i love mickey mouse !,i love disneyland and mickey mouse .,positive
"good job ! if you live to 100 like me , you will need all that learning .",i have lived a century .,positive
i am doing fine . just listening to some country music . my favorite !,my favourite music is country music .,positive
"how nice , i am a singer .",i am a country music singer .,positive
she just called and wants to take me to see travis scott .,i love listening to the guy who got kylie jenner pregnant .,positive
my friends and i sing the frozen songs but mickey is my hero . what college ?,i love to sing songs from the movie frozen .,positive
"my mom , who is a dentist , hates all of them !",my mother is a dentist .,positive
i am a waitress at the local perkins .,i waitress during the day to supplement my income .,positive
ha ha no . it is a mean girls reference . that is my favorite movie .,my favorite movie is mean girls .,positive
"i am busted , a broken arm while skateboarding .",my friends are all skateboarders .,positive
my son hurt his wrist once skateboarding . comes with the territory i suppose .,i have all boys .,positive
yeah . are you from the city ? i dream of moving from this tiny town .,i dream of moving to the city .,positive
glad to hear it . we could meet for coffee my favorite is pumpkin flavor .,coffee is my preferred beverage .,positive
oh man . i bet my dogs would love going hiking . just not my thing though .,i have a dogs .,positive
i understand . i sew my own clothes so i could probably be a recluse too .,i can sew my own clothes .,positive
cool ! i love to go rock climbing my fav summer activity .,my favorite activity is rock climbing .,positive
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !",my favorite food is papaya .,positive
"other than disney , you can find me on the playground with my friends .",i play with my friends on the playground .,positive
"hello , how are you ? i am well . i like to shop for shoes and watches .",i often shop for shoes and watches .,positive
all my friends and i were skateboarding and i landed wrong .,my peeps are all skaters .,positive
there are scorpions everywhere ! ! ! seas of scorpions for miles in all directions ! ree ! ! !,i am terrified of scorpions .,positive
"how exciting ! i enjoy shopping ! i own my dream house already , looking to get my dream car !",i enjoy browsing stores .,positive
"he enjoying that ? last month i turned 60 , just a few more years .",i think i will retire in a few years .,positive
we built a house on my family horse farm . we have over 5000 acres .,we have had thoroughbreds for ages .,positive
it . been working in the industry for 15 years now . where do you work ?,i work in it and have been at the same company for 15 years .,positive
"i just got back from school , not a big fan of it though .",i hate school .,positive
i am sorry you did mention . i teach dance to troubled youth .,i like to dance .,positive
"no , no . i just turned 100 , believe it or not .",i am 100 years old .,positive
"i love spain so much , i been there 6 times .",i have visited spain a times .,positive
they make awesome pictures . i love colors but strangely my favorite is grey !,my favorite color is grey .,positive
i like reading books to relax .,my favorite way to relax is to read a book .,positive
i love the rolling stones . i see them at least once per year .,i see the rolling stones in concert every year .,positive
"yep . between work at the bank and the kids , i am exhausted every night .",i work at a bank .,positive
no . too busy with all of my 19 dogs and 3 sisters .,i have three sisters .,positive
i also spend a lot of time alone . my two kids never come over anymore .,my adult kids do not come to see me .,positive
i am not really sure . i broken my arm skateboarding .,my peeps are all skaters .,positive
"yes . i worked 10 years in human services , but my wife missed work .","my wife works , so i take care of our children .",positive
"yeah , i stay at home and tend to my farm .",i live is a rural farming community .,positive
wow and i thought my life was bad from my chronic fear of heights .,i am deathly afraid of heights .,positive
i tend to stick to my water only . soda is worse !,i do not drink soda .,positive
great ! i will in fourth grade soon . you dance ?,i am in the third grade .,positive
i like to play guitar and explore national parks !,we spent summers ring at national parks .,positive
europe is actually where i decided to get short hair . very chic over there .,i have short hair .,positive
i take care of my stepchildren and am currently 6 months pregnant with triplets . . . so no work .,my spouse has kids from a previous marriage .,positive
i can help monitor it from my home in the cloud .,i live in the cloud .,positive
hi there ! one of my sons loves to skateboard !,i have all boys .,positive
i like the music in the war documentaries that i enjoy watching .,i like watching war documentaries .,positive
"i enjoy fishing , specially in a nice day like today .",i love cooking but i also enjoy fishing .,positive
do you have any hobbies ? i am working on a robot that looks like me .,i am working on a building a robot to be my body double .,positive
"well , speaking of the nineties , i toured around following aerosmith . love those guys .",my favorite band is aerosmith .,positive
it is a fish and seafood stew .,i have a weakness for fish and chips .,positive
i am married and we just bought a house .,i live in a house .,positive
"oh wow , you can still get in the gym i train older ladies ?",i love going to the gym .,positive
that is too bad . i grew up in new york and needed warmth from quilts . .,i grew up in manhattan .,positive
i understand . do you ever drink tea ?,i love to drink fancy tea .,positive
i love watching the movie frozen and singing along !,i love to sing songs from the movie frozen .,positive
i d love to see america . i hope to work there one day . i live in india .,my family and i are from india .,positive
that is cool . my dad was a door to door salesman .,my father was a door to door salesman .,positive
i like to because although i am a small girl it shows my powers .,i am a little girl .,positive
i am also studying other different languages as well .,one of the languages that i am currently studying is spanish .,positive
i have 2 dogs . i should take them walking instead of eating .,eating is something i do when i am bored .,positive
i work with a local volunteer opportunity that rescues bunnies .,i volunteer my time with a local bunny rescue .,positive
"great ! my second job is being a stunt double , no broken bones ever .",i am a stunt double as my second job .,positive
that will do ! i like to hike and sing and wear the color orange .,my favorite color is orange .,positive
okay . i go to school . i like disney world .,i love to go to disney world every year .,positive
i go on walks with my dog to stay healthy too . what do you do ?,i enjoy long walks with my dog .,positive
i wish ! i am too young . i am only 13 .,i am 13 years old .,positive
doing great . watched nhl hockey and walked my german shepherd dog .,i have a pet canine that looks like a police canine .,positive
"one of them , i play instruments like him and folk songs too .",i often enjoy folksy tunes .,positive
i am good . about to go to basketball practice .,i like playing basketball .,positive
"a doctor by trade , but i am looking for work at the moment .",i am a doctor .,positive
insane clown posse is so dope !,my favorite band is the insane clown posse .,positive
that must be interesting . do you need a smartphone for that ? i do not have one .,i do not have a smartphone .,positive
i started my new job yesterday i really like it so far .,i got a new job just yesterday to be a life coach .,positive
i am singing songs from frozen my favorite movie .,i love to sing songs from the movie frozen .,positive
i am a tour guide at a museum . what do you do for a living ?,i am a museum tour guide .,positive
ahh makes sense . i grew up on a farm so we have tons of animals .,i live is a rural farming community .,positive
"no , i used too when i was younger and a painter .",i used to be a painter but now i am a housekeeper .,positive
i will do anything to go to the beach ! and i love kids .,for vacation i enjoy time at the beach .,positive
"high school is the pits . teased for horses , being vegan , anything .",i am a vegan .,positive
doing both of those things has helped me make it to my 100th birthday .,i am 100 years old .,positive
"first year , i just moved here with my best friend for school too .",i recently got an apartment with my best friend .,positive
i love gymnastics its my favorite to do as far as sports !,gymnastics is my favorite sport .,positive
i love it . i am partially deaf so it is hard to find normal jobs .,i can only somewhat hear .,positive
hi ! just enjoying the sun during vacation . i am at miami beach .,for vacation i enjoy time at the beach .,positive
"i like isolation , which is why i became a bee farmer .",i am a bee farmer .,positive
oh no . i prepare traditional dishes .,my mother is very traditional while i prefer to be more free spirited .,positive
i like to garden . i grow roses .,i grow roses in my garden .,positive
me too ! i also like to make paella . i played for a division of football in college .,i played football for a division a college .,positive
"hey i am larry , what is your name ?",hey my name is larry and i am a chef .,positive
when ? when not at my practice i go to the park .,i enjoy going to the park .,positive
cool . what kind of cars ? i am a school teacher .,i work as a school teacher .,positive
great ! i am traveling round the world for a year .,i have been traveling the world for a years .,positive
speaking of fish i made some yesterday . while volunteering at the homeless shelter .,i volunteer in a homeless shelter .,positive
taylor swift walked into my store the other day ! it was awesome !,i met taylor swift .,positive
i like some of it . it is popular here in pennsylvania .,i live with my husband in pennsylvania .,positive
"pink is one color i do not like , however .",i hate the color pink .,positive
cool . i work nights at a local bar to pay tuition and food .,i work at a bar at night to pay for college .,positive
i am just hoping no one brings chicken ! that stuff makes me harf !,i do not like chicken .,positive
"i feel strong , other than the hearing part . i hear music from the inside .",i am very strong for my age .,positive
"i am too ! my partners love to go swimming , but i am awful at it .",i am not a good swimmer at all .,positive
"what i mean is , i value your opinion . you could have a taco .",i like tacos .,positive
i really enjoy fishing and cooking my catches .,if i am not cooking in the kitchen then i am definitely on the water .,positive
do they like candy sometimes ? i like chocolate .,i like to eat chocolate candy .,positive
good . just got home from work at burger king .,i work took i have a part time job at burger king .,positive
i happen to have three . and a brother . go figure .,i have one brother .,positive
interesting . i bet you get a lot of 60 year old clients like myself .,i think i will retire in a few years .,positive
"pasta , my son loves pizza though !",i have a son who is in junior high school .,positive
"great , so far . just got back from my weekly dance lessons sore !",i take dance lessons once a week .,positive
do you like fish i really like my pet fish .,i have a pet fish .,positive
terrible . my dad keeps trying to send me on blind dates .,my father keeps trying to set me up on blind dates .,positive
"no , i already have step children , they are a pain .",a already have a step children .,positive
i am only 4 years old . how old are you ?,i am under 5 years old .,positive
nice ! do you have siblings ? i have 3 older sisters and one little brother .,i have three sisters .,positive
no they died in somalia before my aunt helped me escape to the united states .,now i live in the united states .,positive
are you afraid of heights ? i study many languages . spanish and french currently .,one of the languages that i am currently studying is spanish .,positive
"i am suppose to be , but i use my super powers to stop time and not go .",i like to make time stop .,positive
i want to be a computer programmer . are you in school ?,i am studying to be a computer programmer .,positive
"my parents were culinary teachers , they taught me to cook .","like me , my mom and dad taught at bloom high school .",positive
"yes . i am now cancer free , and feeling great .",i had cancer but its gone now .,positive
"ew , dogs ! do not like them , only thing in common is short hair !",i get a buzz cut every two weeks .,positive
"when i was 16 . luckily , he taught me everything i know about construction .",my dad taught me everything i know .,positive
i love being in a polyamorous open relationship !,i am in an open polyamorous relationship .,positive
"well , that is what i do for a living . walk dogs !",i walk dogs for a living .,positive
that sounds like fun ! i went out to dance over the weekend .,i am a dancer .,positive
i can be sometimes but mostly facebook . i post a lot of picture of my dogs .,my pups are my family .,positive
"nope , when i was 16 i was probably shopping for watches and shoes .",i often shop for shoes and watches .,positive
i am glad he protected disneyland . it is my favorite place .,i love disneyland and mickey mouse .,positive
"i am a housekeeper , not very exciting .",i used to be a painter but now i am a housekeeper .,positive
"glad to hear that , i want to ride a horse .",i love to ride my horse .,positive
i was single for a long time . just married to super model from italy .,i married a super model from italy .,positive
that must be interesting . do you have a favorite band ?,my favorite band is up and i got to see them in concert once .,positive
i have been fired and had to get a new job in the insurance business .,i recently was fired and had to get a new job .,positive
i want to move out . i am drug and booze free though .,i am 19 and i cannot wait to move out 19 my parents home .,positive
i wish my dad did . i get picked on because of my hair and blue eyes .,i have blue eyes and red hair that comes to my waist .,positive
hello . my hopes and dreams are to spend time with friends having fun .,i just want to have fun with my friends .,positive
i wonder if you need a license to be a wine reviewer .,i love to drink wine and dance in the moonlight .,positive
"i listen to classical music , when i do my homework . i am currently a straight a student !",i won homecoming queen this year .,positive
do you drink or do drugs ?,i do not drink or do drugs or anything .,positive
i love to try new restaurants and dance .,i like going to restaurants .,positive
right on ! i own a dog walking service .,i also have a dog walking business .,positive
"i work at burger king part time , and go to school part time .",i work took i have a part time job at burger king .,positive
i am watching birds with my cat . what your favorite football team ?,i spend my time bird watching with my cats .,positive
i hate the holidays . i always get depressed around them .,the holidays make me depressed .,positive
"i love to be on the water , fishing is one of my favorite things to do .",if i am not cooking in the kitchen then i am definitely on the water .,positive
"florida here , everybody is old , retired and does casinos here so i do not stick out .",i have been retired for a years .,positive
i love to sit outside at night and drink tea the fancy stuff . do you like tea ?,i love to drink fancy tea .,positive
"my parents are bankers , they are training me to take money from helpless goyim .",my mother and father make a lot of money .,positive
"yeah , it was rough 100 years ago .",i am 100 years old .,positive
"hi , tracy here , my children and i leaving for out house in florida .",i have a children and a dogs .,positive
they do know how to rock !,i like to listen to rock music while working .,positive
"my father is a member of the army , served for 10 years now .",my father is in the army .,positive
maybe my dad could fix you up on a blind date .,my father keeps trying to set me up on blind dates .,positive
my aunt brought me to california after she found out i had to marry a man .,i reside in california .,positive
"10 . after a swim , we are going to play monopoly . board games are the best !",i love to play board games .,positive
hello . my pet fish and i are fine . you ?,i have a pet fish .,positive
"i am 68 , been retired for a few years now .",i no longer work due to my age .,positive
do you long hair or short ? i just tried a short haircut .,i have short hair .,positive
"wow , good for him . i just work in a bookstore . . .",i went to school for chemistry but work in a bookstore .,positive
very nice . do you like sports ? i like to watch the nhl hockey league .,i like to watch nhl hockey .,positive
i play my folk songs at a coffee shop sometimes . it is nice .,my favorite type of music to sing is folk music .,positive
i do ! i am very different from my sister . she is a pole dancer in a club .,my sister is a pole dancer .,positive
"no , but i have been to spain .",i have visited spain a times .,positive
my electrician salary could not afford all that !,i am an electrician .,positive
great ! i live on a farm with a dog named trump who watches hockey .,i have a german shepherd dog .,positive
"well , i love shopping and pampering myself . i go to the spa a lot !",i love spending money .,positive
"my father has taught me a lot about it , he is an electrician .",my father is an electrician .,positive
are you still in high school ?,i am currently in high school .,positive
i like to eat chocolate too . do you like chocolate ?,i like to eat chocolate candy .,positive
i feel you . my ex left me with my kids for a lawyer .,my ex cheated and left me for a lawyer .,positive
i once lived in my moms house .,i live in a house .,positive
mine are too . i am 56 .,i am a 56 year old woman .,positive
i also love sports ! gymnastics is my favorite .,gymnastics is my favorite sport .,positive
